reach_id,fit_method,nobs,med_flow_area,med_wse,med_width,h_break_0,h_break_1,h_break_2,h_break_3,m_1,m_2,m_3,y0_1,y0_2,y0_3,ormse,mor
45343000361,simple,28,207.92532824934824,75.67679999999777,123.4126419871383,73.9605582979447,74.43309880147142,75.8960152923475,76.4754272465369,31.013310817634835,4.299425649807619e-08,52.8579154166658,-2185.0041863160895,123.41263873347054,-3888.2925147883147,23.745064353060116,19.85033639485752
45343000071,simple,27,670.8136162830051,39.12675718515151,596.2833241796516,37.74580575247276,41.41413796942555,44.10986165227887,49.99079127263044,172.82547446588237,47.05307263270746,32.649626195090505,-6165.817050655531,-957.061448390394,-321.72741871110117,56.148130339354715,46.38577854259066
45350000045,set,27,387.4008216827581,0.9045000028251261,578.6491157886379,0.17976695786930058,0.7888666666666666,1.4092333333333333,2.057466630604093,199.99712461914325,3.094780667075783e-06,220.0793080442498,420.8780503895873,578.6491129894088,268.5060204777881,56.65592002085743,47.571110490837846
45350000035,simple,27,532.0214446761353,0.7787999968010147,932.5344466168737,0.22011899979222907,0.35080231655216715,0.9373671689245299,1.3600694319630915,271.7272840530644,4.746339427855897e-06,76.53041368528014,837.2118838685358,932.5344429204246,860.7973501567923,28.562505791753498,20.900499096594586
45349300031,simple,27,1440.294218588635,364.467478995704,305.24439152582227,359.36830000007257,360.6669097094984,365.92187587006526,366.7578506285615,1.320093666208219e-07,9.30337708792998,78.76392049463227,269.8862146960363,-3085.534001858412,-28502.66634419301,48.91460124190898,39.687556809970246
45349600031,simple,26,1047.5665566558018,463.20438079709794,396.34285031204126,459.5375923001398,461.3216836619508,463.83996999999994,464.29416581209523,28.773357819661236,75.17212577943505,68.32791129716327,-13018.957369509699,-34423.715124552735,-31249.094884422226,76.00364687868893,59.3027995805944
45347900011,simple,26,14453.871610257775,331.8676240949003,4369.556016628252,326.76951294813796,330.2965115983453,331.7285129110873,333.3638,692.5634869913929,434.4984689692112,1178.3604798613856,-225167.8732962751,-139929.89807798437,-386690.1367622964,620.5638440326615,255.65230392711945
45349300151,simple,25,383.56531277881004,384.21509768001573,168.31786580231346,380.52975970873166,383.7004879692048,385.52090046156235,391.08130000001586,18.675928043313963,73.14760626702865,4.5161129238145955e-08,-7035.2873062025965,-27936.09682114343,263.83419611871756,66.10802279252763,48.362923495432945
45349600011,set,25,9039.448917666916,463.52074055329746,2369.429287418528,459.4918116086146,461.0810666666667,462.6684333333333,464.246991438365,87.4757557365481,87.00548704748162,13.340580932311331,-38113.46535846524,-37896.63336969054,-3814.2066657376195,57.73190373242264,38.2158439569289
45347300051,simple,25,1250.560005138992,119.83907086143233,361.0276854718177,115.33250000000785,119.60870136552512,121.28178523539265,127.15189999997557,2.4981853961310474e-09,389.6535992374238,4.85709914750504e-09,271.26338193826024,-46334.697604953966,923.1865333679451,161.31154581657444,117.14681270054254
